acteurs,description,duree,genre,langue_origine,pays,public,score,titre,titre_original,year
"Sarah Lancashire,Siobhan Finneran,James Norton,Rhys Connah,Charlie Murphy,Shane Zaza,Ishia Bennison,Rick Warden,George Costigan,Karl Davies,Derek Riddell,Con O'Neill,Mete Dursun,Vincent Franklin,Chord Melodic,Susan Lynch,Jill Baker,Mark Stanley",Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,0,"Crime,Drama,Thriller",English,United Kingdom,TV-MA,8.5,Happy Valley,Happy Valley,2014
"Andy Whitfield,Lucy Lawless,Manu Bennett,Daniel Feuerriegel,Peter Mensah,Nick E. Tarabay,Viva Bianca,Liam McIntyre,Pana Hema Taylor,Cynthia Addai-Robinson,Dustin Clare,Heath Jones,Katrina Law,Ellen Hollman,Barry Duffield,Kelvin Taylor,John Hannah,Craig Parker","The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",55,"Action,Adventure,Biography",English,United States,TV-MA,8.5,Spartacus,Spartacus,2010
"Will Buxton,Jack Nicholls,Daniel Ricciardo,Lewis Hamilton,Pierre Gasly,Max Verstappen,Sergio Pérez,Carlos Sainz,Charles Leclerc,Sebastian Vettel,Kevin Magnussen,Lance Stroll,Kimi Räikkönen,Valtteri Bottas,Lando Norris,George Russell,Esteban Ocon,Toto Wolff",Docuseries following the FIA Formula One World Championship across multiple seasons.,40,"Documentary,Sport",English,United Kingdom,TV-MA,8.5,Formula 1: Drive to Survive,Formula 1: Drive to Survive,2019
"Louis C.K.,Hadley Delany,Ursula Parker,Pamela Adlon,Deanna Mustard,Scott Reyns,Steve Fabricant,Susan Kelechi Watson,Nick Di Paolo,Todd Barry,Jim Norton,Robert Kelly,William Stephenson,Edward Gelbinovich,Gary Wilmes,Eszter Balint,Ellen Burstyn,Charles Grodin","The life of Louie C.K., a divorced comedian living in New York with two kids.",22,"Comedy,Drama",English,United States,TV-MA,8.5,Louie,Louie,2010
"Joe Locke,Kit Connor,William Gao,Yasmin Finney,Tobie Donovan,Cormac Hyde-Corrin,Rhea Norwood,Corinna Brown,Kizzy Edgell,Sebastian Croft,Ashwin Vishwanath,Evan Ovenell,Fisayo Akinade,Olivia Colman,Araloyin Oshunremi,Jenny Walser,Leila Khan,Nima Taleghani",Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,30,"Drama,Romance",English,United Kingdom,TV-14,8.6,Heartstopper,Heartstopper,2022
"Mackenzie Crook,Toby Jones,Rachael Stirling,Gerard Horan,Pearce Quigley,Divian Ladwa,Laura Checkley,Sophie Thompson,Orion Ben,Aimee-Ffion Edwards,Simon Farnaby,Paul Casar,Alexa Davies,Lucy Benjamin,Rebecca Callard,Jacob Hill,Daniel Donskoy,Isabella Hill","The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",30,Comedy,English,United Kingdom,TV-14,8.6,Detectorists,Detectorists,2014
"Drew Carey,Colin Mochrie,Ryan Stiles,Laura Hall,Wayne Brady,Linda Taylor,Cece Worrall Rubin,Greg Proops,Brad Sherwood,Charles Esten,Kathryn Greenwood,Denny Siegel,Anne King,Jeff Bryan Davis,Anna Wanselius,Kathy Griffin,Karen Maruyama,Whoopi Goldberg",Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,30,"Comedy,Game-Show",English,United States,TV-PG,8.5,Whose Line Is It Anyway?,Whose Line Is It Anyway?,1998
"Ewan McGregor,Charley Boorman,David Alexanian,Russ Malkin,Claudio von Planta,Jimmy Simak,Eve Mavrakis,Olly Boorman,Doone Boorman,Kinvara Boorman,Jim McGregor,John Boorman,Christel Kruse Boorman,Carol McGregor,Daisy Boorman,Margrit von Planta,Natalie Portman,Paul Teutul Sr.","Ewan McGregor and Charley Boorman embark on a grueling quest to motorbike from London to New York. Going east through Europe, Asia and then to Alaska, they experience different cultures and have to overcome the elements and adversity.",315,"Documentary,Adventure",English,United Kingdom,TV-PG,8.6,Long Way Round,Long Way Round,2004
"Phil LaMarr,Mako,Kevin Michael Richardson,Jeff Bennett,Grey Griffin,Tara Strong,Tom Kenny,Daran Norris,Greg Baldwin,John DiMaggio,Jennifer Hale,Dee Bradley Baker,Sab Shimono,Richard McGonagle,Lauren Tom,Keone Young,Rob Paulsen,Clyde Kusatsu","A samurai, sent through time, fights to return home and save the world.",23,"Animation,Action,Adventure",English,United States,TV-MA,8.5,Samurai Jack,Samurai Jack,2001
"Simon Pegg,Jessica Hynes,Julia Deakin,Nick Frost,Mark Heap,Katy Carmichael,Aida the Dog,Lucy Akhurst,Anna Wilson-Jones,Bill Bailey,James Lance,Peter Serafinowicz,Clive Russell,Sally Grace,Rowena Cooper,Michael Smiley,Gemma Padley,Jonathan Ryland","Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.",25,Comedy,English,United Kingdom,TV-14,8.5,Spaced,Spaced,1999
"Kenan Imirzalioglu,Cansu Dere,Yigit Özsener,Baris Falay,Tuncel Kurtiz,Bade Iscil,Sarp Akkaya,Bayazit Gülercan,Ipek Bilgin,Nurhan Özenen,Baris Serma,Ataberk Ural,Burçin Terzioglu,Riza Kocaoglu,Salih Kalyon,Kemal Uçar,Levent Can,Mert Akbas","Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.",90,"Crime,Drama,Thriller",Turkish,Turkey,TV-14,8.7,Ezel,Ezel,2009
"Steve Coogan,Simon Greenall,Felicity Montagu,Phil Cornwell,Andrew Burt,Amelia Bullmore,Barbara Durkin,Sally Phillips,James Lance,Tim Dantay,David Schneider,Simon Ludders,Danny Cunningham,Terence Booth,Michael Wardle,Peter Baynham,Polly Kemp,Rob Brydon","A failed television presenter, now presenting a programme on local desperately tries to revive his broadcasting career.",29,Comedy,English,United Kingdom,TV-MA,8.6,I'm Alan Partridge,I'm Alan Partridge,1997
"Rami Malek,Christian Slater,Carly Chaikin,Martin Wallström,Portia Doubleday,Michael Cristofer,Grace Gummer,BD Wong,Stephanie Corneliussen,Vaishnavi Sharma,Gloria Reuben,Sunita Mani,Azhar Khan,Joey Bada$$,Omar Metwally,Michael Drayer,Michel Gill,Jeremy Holm","Elliot, a brilliant but unstable cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global chaos when he and his shadowy allies try to take down the corrupt corporation his company is paid to protect.",49,"Crime,Drama,Thriller",English,United States,TV-MA,8.5,Mr. Robot,Mr. Robot,2015
"Chris O'Dowd,Richard Ayoade,Katherine Parkinson,Matt Berry,Christopher Morris,Noel Fielding,Graham Linehan,Tom Binns,Lewis Macleod,Belinda Stewart-Wilson,Peter Serafinowicz,Gemma Chan,Cordelia Bugeja,Togo Igawa,John Willie Hopkins,Dolly Wells,Pete Deagle,Ben Moor","The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",25,Comedy,English,United Kingdom,TV-14,8.5,The IT Crowd,The IT Crowd,2006
"Eric André,Hannibal Buress,Robert Smith,Tom Ato,Early McCalister,Pfelton Sutton,Jerry Wheeler,John Bueno,Adora Dei,Felipe Esparza,JV Smith,Pat Regan,Dan Curry,Jermaine Fowler,Gary Anthony Williams,Tom Kane,Karen Elaine,Duane R. Shepard Sr.","Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",11,"Comedy,Talk-Show",English,United States,TV-MA,8.6,The Eric Andre Show,The Eric Andre Show,2012
"Takahiro Sakurai,Setsuo Ito,Chris Niosi,Akio Ôtsuka,Kyle McCarley,Michael Sorich,Miyu Irino,Max Mittelman,Yoshitsugu Matsuoka,Ryunosuke Watanuki,Patrick Seitz,Yoshimasa Hosoya,Erik Scott Kimerer,Daiki Hamano,Seiichiro Yamashita,Cherami Leigh,Toshihiko Seki,Kôhei Amasaki","A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",24,"Animation,Action,Comedy",Japanese,Japan,TV-14,8.6,Mob Psycho 100,Mob Psycho 100,2016
"Shaun Evans,Roger Allam,James Bradshaw,Sean Rigby,Anton Lesser,Caroline O'Neill,Abigail Thaw,Sara Vickers,Dakota Blue Richards,Jack Laskey,Jack Bannon,Simon Harrison,Shvorne Marks,Lewis Peek,Carol Royle,Richard Riddell,Mark Arden,Flora London","Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.",89,"Crime,Drama,Mystery",English,United Kingdom,TV-14,8.6,Endeavour,Endeavour,2012
"Kazuya Nakai,Ginpei Sato,Ayako Kawasumi,Steve Blum,Kirk Thornton,Kari Wahlgren,Doug Stone,Erik Davies,Masakazu Kohara,Tsuguo Mogami,Shunsuke Sakuya,Yoshinori Sonobe,Masao Harada,Takehiro Murozono,Paul St. Peter,Steve Kramer,Kim Strauss,Doug Erholtz","Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",24,"Animation,Action,Adventure",Japanese,Japan,TV-MA,8.6,Samurai Champloo,Samurai Champloo,2004
"Paul Eddington,Nigel Hawthorne,Derek Fowlds,Diana Hoddinott,Deborah Norton,John Nettleton,Peter Cellier,Miranda Forbes,Frederick Treves,Antony Carrick,Barry Stanton,Donald Pickering,Peter Cartwright,Clive Francis,Frank Middlemass,Michael Aldridge,John Barron,John Wells",James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.,30,Comedy,English,United Kingdom,TV-PG,8.6,"Yes, Prime Minister","Yes, Prime Minister",1986
"Andrija Kuzmanovic,Marija Bergam,Dragan Bjelogrlic,Jovana Stojiljkovic,Nenad Jezdic,Gordan Kicic,Goran Bogdan,Aleksandar Gligoric,Nebojsa Dugalic,Aleksandar Stojkovic,Slobodan 'Boda' Ninkovic,Branimir Brstina,Marko Zivic,Milos Samolov,Srdjan 'Zika' Todorovic,Toni Mihajlovski,Petre Arsovski,Vojislav 'Voja' Brajovic","A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together.",60,"Crime,Drama,Thriller",Serbian,Serbia,TV-MA,8.9,Black Sun,Black Sun,2017
"Jim Sarbh,Saba Azad,Regina Cassandra,Mark Bennington,Ishwak Singh,Dibyendu Bhattacharya,Vinita Venugopal,Namit Das,Arjun Radhakrishnan,K.C. Shankar,Charu Shankar,Emily R. Acland,Monisha Advani,Ashmita Meghrajani,Rajiv Kachroo,Darius Shroff,Rajit Kapoor,Neha Chauhan","The story of two extraordinary men, Dr. Homi Jehangir Bhabha and Dr. Vikram Ambalal Sarabhai, who created history while building India's future.",45,"Drama,History",Hindi,India,,8.9,Rocket Boys,Rocket Boys,2022
"Steven Avery,Dolores Avery,Laura Nirider,Allan Avery,Dean Strang,Jerry Buting,Kathleen Zellner,Barb Tadych,Ken Kratz,Brendan Dassey,Steven Drizin,Kim Ducat,Len Kachinsky,Sandra Greenman,Stephen Glynn,Peter Dassey,Robert Dvorak,Chuck Avery","Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",60,"Documentary,Crime",English,United States,TV-14,8.5,Making a Murderer,Making a Murderer,2015
"Jack Davenport,Gina Bellman,Sarah Alexander,Kate Isitt,Ben Miles,Richard Coyle,Richard Mylan,Lou Gish,Olivia Caffrey,Mariella Frostrup,Lloyd Owen,Elizabeth Marmur,Emilia Fox,Adam Astill,Michael Price,Amanda Abbington,Anat Dychtwald,William Scott-Masson",Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,30,"Comedy,Romance",English,United Kingdom,TV-14,8.6,Coupling,Coupling,2000
"Brice Armstrong,Steve Olson,Stephanie Nadolny,Zoe Slusar,Christopher Sabat,Tiffany Vollmer,Leda Davies,Mike McFarland,Monika Antonelli,Victor Atelevich,Chris Simms,Bradford Jackson,Mike Thiessen,Laurie Steele,Meredith McCoy,John Burgmeier,Rocío Garcel,Chuck Huber","Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.",24,"Animation,Action,Adventure",Japanese,Japan,TV-14,8.5,Dragon Ball,Dragon Ball,1995
"James Murray,Brian Quinn,Sal Vulcano,Joe Gatto,Casey Jost,Cole Weber,Rob Emmer,John Szeluga,Daniel Cast,Drew Patterson,Joe Imburgio,Frank Contacessa,Joey Fatone,Bill St. James,Johnna Scrabis,Chavon Deberry,Jay Miller,Simmy Kustanowitz","Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",30,"Comedy,Reality-TV",English,United States,TV-14,8.6,Impractical Jokers,Impractical Jokers,2011
"Jemaine Clement,Bret McKenzie,Rhys Darby,Kristen Schaal,Arj Barker,Frank Wood,Eugene Mirman,David Costabile,Sutton Foster,Rachel Blanchard,Brian Sergent,Adrian Martinez,Lenny Venito,José Ramón Rosario,Kelly Taffe,Victor Williams,Will Forte,Aziz Ansari","Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",28,"Comedy,Music,Musical",English,United States,TV-MA,8.6,Flight of the Conchords,Flight of the Conchords,2007
"Edward James Olmos,Mary McDonnell,Katee Sackhoff,Jamie Bamber,James Callis,Tricia Helfer,Callum Keith Rennie,Grace Park,Michael Hogan,Matthew Bennett,Paul Campbell,Aaron Douglas,Barclay Hope,Lorena Gale,Kandyse McClure,Connor Widdows,John Mann,Alessandro Juliani","Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.",183,"Action,Adventure,Drama",English,United States,TV-14,8.5,Battlestar Galactica,Battlestar Galactica,2003
"Manoj Bajpayee,Samantha Ruth Prabhu,Priyamani,Sharib Hashmi,Ashlesha Thakur,Vedant Sinha,Shahab Ali,Shreya Dhanwanthary,Sharad Kelkar,Dalip Tahil,Darshan Kumaar,Sunny Hinduja,Aritro Rudraneil Banerjee,Pawan Chopra,Neeraj Madhav,Mime Gopi,Srikrishna Dayal,Vijay Vikram Singh","A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.",45,"Action,Comedy,Drama",Arabic,India,TV-MA,8.7,The Family Man,The Family Man,2019
"Junya Enoki,Yuma Uchida,Yûichi Nakamura,Adam McArthur,Asami Seto,Nobunaga Shimazaki,Robbie Daymond,Takahiro Sakurai,Kenjirô Tsuda,Lex Lang,Mikako Komatsu,Tomokazu Seki,Jun'ichi Suwabe,Mitsuo Iwata,Kaiji Tang,Shigeru Chiba,Takaya Kuroda,Kotono Mitsuishi",A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,24,"Animation,Action,Adventure",Japanese,Japan,TV-MA,8.6,Jujutsu Kaisen,Jujutsu Kaisen,2020
"Anya Taylor-Joy,Chloe Pirrie,Bill Camp,Marcin Dorocinski,Marielle Heller,Thomas Brodie-Sangster,Moses Ingram,Harry Melling,Isla Johnston,Janina Elkin,Matthew Dennis Lewis,Russell Dennis Lewis,Patrick Kennedy,Christiane Seidel,Jacob Fortune-Lloyd,Akemnji Ndifornyen,Annabeth Kelly,Dolores Carbonari","Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",0,Drama,English,United States,TV-MA,8.5,The Queen's Gambit,The Queen's Gambit,2020
"Christopher McCulloch,James Urbaniak,Doc Hammer,Michael Sinterniklaas,Patrick Warburton,Steven Rattazzi,Paul Boocock,Soul-Bot,Lisa Hammer,Dana Snyder,Mia Barron,Brendon Small,Charles Parnell,Mark Gagliardi,Hal Lublin,Cristin Milioti,Kate McKinnon,Nina Hellman","The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.",22,"Animation,Action,Adventure",English,United States,TV-14,8.6,The Venture Bros.,The Venture Bros.,2003
"Masako Nozawa,Jôji Yanami,Brice Armstrong,Stephanie Nadolny,Hiromi Tsuru,Mayumi Tanaka,Christopher Sabat,Tôru Furuya,Naoko Watanabe,Kôhei Miyauchi,Mike McFarland,Tiffany Vollmer,Naoki Tatsuta,Mami Koyama,Bradford Jackson,Monika Antonelli,Kenji Utsumi,Laurie Steele","Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",25,"Animation,Action,Adventure",Japanese,Japan,TV-14,8.5,Dragon Ball,Dragon Ball,1986
"Carl Lumbly,Phil LaMarr,Michael Rosenbaum,George Newbern,Maria Canals-Barrera,Kevin Conroy,Susan Eisenberg,Jason Marsden,Mark Hamill,Clancy Brown,Corey Burton,Jennifer Hale,Phil Morris,Olivia d'Abo,Susan Sullivan,Richard Doyle,Brian George,Kevin Michael Richardson",Seven of the most formidable heroes form arguably the most powerful team ever.,22,"Animation,Action,Adventure",English,United States,TV-PG,8.6,Justice League,Justice League,2001
"Kayvan Novak,Matt Berry,Natasia Demetriou,Harvey Guillén,Mark Proksch,Kristen Schaal,Anthony Atamanuik,Doug Jones,Chris Sandiford,Jean-Michel Richaud,Parisa Fakhri,Anoop Desai,Violet Tinnirello,Liam McKenna,Veronika Slowikowska,Gavin Fox,Myrna Cabello,Andy Hull",A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.,30,"Comedy,Fantasy,Horror",English,United States,TV-MA,8.6,What We Do in the Shadows,What We Do in the Shadows,2019
"Michiel Huisman,Carla Gugino,Henry Thomas,Elizabeth Reaser,Oliver Jackson-Cohen,Kate Siegel,Victoria Pedretti,Lulu Wilson,Mckenna Grace,Paxton Singleton,Julian Hilliard,Violet McGraw,Timothy Hutton,Natalia Rosminati,Anthony Ruivivar,Samantha Sloyan,Annabeth Gish,Robert Longstreet","Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",0,"Drama,Horror,Mystery",English,United States,TV-MA,8.6,The Haunting of Hill House,The Haunting of Hill House,2018
"Richard Belzer,Clark Johnson,Yaphet Kotto,Kyle Secor,Andre Braugher,Melissa Leo,Reed Diamond,Sharon Ziman,Peter Gerety,Jon Seda,Isabella Hofmann,Callie Thorne,Toni Lewis,Clayton LeBouef,Zeljko Ivanek,Max Perlich,Daniel Baldwin,Ned Beatty",An American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,60,"Crime,Drama,Mystery",English,United States,TV-14,8.7,Homicide: Life on the Street,Homicide: Life on the Street,1993
"Mathieu Kassovitz,Florence Loiret Caille,Jonathan Zaccaï,Sara Giraudeau,Jules Sagot,Zineb Triki,Jean-Pierre Darroussin,Irina Muluile,Gilles Cohen,Artus,Alexandre Brasseur,Patrick Ligardes,Léa Drucker,Mathieu Amalric,Aleksey Gorbunov,Michaël Abiteboul,Pauline Etienne,Anne Azoulay","A very unique and captivating series about the ""bureau des légendes"", the mythical powerhouse within the French Secret Service and its dare devil ghost agents.",52,"Drama,Thriller",French,France,TV-MA,8.7,The Bureau,The Bureau,2015
"Ramón Valdés,Carlos Villagrán,Roberto Gómez Bolaños,María Antonieta de las Nieves,Florinda Meza,Edgar Vivar,Rubén Aguirre,Angelines Fernández,Horacio Gómez Bolaños,Ricardo de Pascual,Maribel Fernández,Olivia Leyva,Raúl 'Chato' Padilla,Ana Lilian De La Macorra,Patty Juarez,Rosita Bouchot,Beatriz Moreno,Enrique Segoviano","The misadventures of a poor, homeless, fumbling boy and his friends in their humble neighborhood.",30,"Comedy,Family",Spanish,Mexico,TV-PG,8.7,El Chavo del Ocho,El Chavo del Ocho,1972
"Timothy Olyphant,Nick Searcy,Joelle Carter,Jacob Pitts,Erica Tazel,Walton Goggins,Natalie Zea,Jere Burns,David Meunier,Jonathan Kowalsky,Russell Bertolino,Rick Gomez,Raymond J. Barry,Jesse Luken,Damon Herriman,Jeremy Davies,Justin Welborn,Mykelti Williamson","Enforcing his own brand of justice, U.S. Marshal Raylan Givens, a strong-willed, quiet law-man haunted by his past, returns to his native town to see that justice is served to those in need.",0,"Action,Crime,Drama",English,United States,TV-MA,8.6,Justified,Justified,2010
"Mel Blanc,June Foray,Daws Butler,Arthur Q. Bryan,Nicolai Shutorev",TV series featuring the classic Looney Tunes animated shorts.,30,"Animation,Comedy",English,United States,TV-G,8.6,The Bugs Bunny Show,The Bugs Bunny Show,1960
"Alan Davies,Stephen Fry,Sandi Toksvig,Bill Bailey,Phill Jupitus,Jimmy Carr,Jo Brand,David Mitchell,Sean Lock,Rich Hall,Ross Noble,Jason Manford,Aisling Bea,Josh Widdicombe,Clive Anderson,Sue Perkins,Holly Walsh,Rob Brydon","A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.",30,"Comedy,Game-Show",English,United Kingdom,TV-PG,8.6,QI,QI,2003
"Jeff Daniels,Emily Mortimer,John Gallagher Jr.,Alison Pill,Thomas Sadoski,Dev Patel,Olivia Munn,Sam Waterston,Chris Chalk,Margaret Judson,Adina Porter,John F. Carpenter,Thomas Matthews,Trieu Tran,Charlie Weirauch,Wynn Everett,Riley Voelkel,Chris Messina","A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",55,Drama,English,United States,TV-MA,8.6,The Newsroom,The Newsroom,2012
"Jeremy Allen White,Ayo Edebiri,Ebon Moss-Bachrach,Lionel Boyce,Liza Colón-Zayas,Abby Elliott,Matty Matheson,Edwin Lee Gibson,Corey Hendrix,Richard Esteras,Jose M. Cervantes,Oliver Platt,Chris Witaske,Molly Gordon,Carmen Christopher,Robert Townsend,Joel McHale,Alex Moffat",A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.,35,"Comedy,Drama",English,United States,TV-MA,8.6,The Bear,The Bear,2022
"Kevin Costner,Luke Grimes,Kelly Reilly,Wes Bentley,Cole Hauser,Kelsey Asbille,Brecken Merrill,Jefferson White,Gil Birmingham,Forrie J. Smith,Denim Richards,Ian Bohen,Mo Brings Plenty,Jake Ream,Ryan Bingham,Jen Landon,Wendy Moniz,Ethan Lee",A ranching family in Montana faces off against others encroaching on their land.,60,"Drama,Western",English,United States,TV-MA,8.7,Yellowstone,Yellowstone,2018
"Steve Buscemi,Kelly Macdonald,Michael Shannon,Shea Whigham,Stephen Graham,Vincent Piazza,Michael Kenneth Williams,Paul Sparks,Gretchen Mol,Michael Stuhlbarg,Anthony Laciura,Jack Huston,Anatol Yusef,Brady Noon,Connor Noon,Lucy Gallina,Josie Gallina,Declan McTigue",An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,55,"Crime,Drama",English,United States,TV-MA,8.6,Boardwalk Empire,Boardwalk Empire,2010
"Derek Jacobi,Geoffrey Wawro,James Holland,Saul David,Sönke Neitzel,Phillips O'Brien,Max Hastings,Justin Bronk,Peter Lieb,Craig L. Symonds,Jochen Hellbreck,Laura Lawfer Orr,Michael Lynch,Timothy Orr,Tami Davis Biddle,Jonathan Parshall,Joshua Levine,David Glantz",A series of colorized archive footage of important events during World War II.,50,"Documentary,History,War",English,United Kingdom,,8.7,Greatest Events of WWII in Colour,Greatest Events of WWII in Colour,2019
"Paul Eddington,Nigel Hawthorne,Derek Fowlds,Diana Hoddinott,John Nettleton,Neil Fitzwiliam,Arthur Cox,John Savident,John Pennington,Antony Carrick,Robert Dougall,Richard Vernon,Tenniel Evans,John Barron,Ian Lavender,Nigel Stock,Edward Jewesbury,Rosemary Williams","The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.",30,Comedy,English,United Kingdom,TV-PG,8.7,Yes Minister,Yes Minister,1980
"Amybeth McNulty,Geraldine James,R.H. Thomson,Andrea Arruti,Dalila Bela,Lucas Jade Zumann,Corrine Koslo,Helen Johns,Aymeric Jett Montaz,Kyla Matthews,Jonathan Holmes,Lia Pappas-Kemps,Jacob Ursomarzo,Dalmar Abuzeid,Miranda McKeon,Jacob Horsley,Glenna Walters,Christian Martyn","The adventures of a young orphan girl living in the late 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.",60,"Drama,Family",Micmac,Canada,TV-PG,8.6,Anne with an E,Anne with an E,2017
"Michael Keaton,Peter Sarsgaard,Michael Stuhlbarg,Will Poulter,John Hoogenakker,Kaitlyn Dever,Rosario Dawson,Will Chase,Mare Winningham,Ray McKinnon,Phillipa Soo,Ian Unterman,Brendan Patrick Connor,Raúl Esparza,Lawrence Arancio,Arischa Conner,Andrea Frankle,Deadra Moore","The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.",0,Drama,English,United States,TV-MA,8.6,Dopesick,Dopesick,2021
"Nolan North,Danica McKellar,Jesse McCartney,Stephanie Lemelin,Khary Payton,Jason Spisak,Kevin Michael Richardson,Zehra Fazal,Troy Baker,Bruce Greenwood,Phil LaMarr,Crispin Freeman,Lacey Chabert,Greg Cipes,Dee Bradley Baker,Grey Griffin,Masasa Moyo,Yuri Lowenthal",Teenage superheroes strive to prove themselves as members of the Justice League.,23,"Animation,Action,Adventure",English,United States,TV-PG,8.6,Young Justice,Young Justice,2010
"Natsuki Hanae,Zach Aguilar,Abby Trott,Akari Kitô,Yoshitsugu Matsuoka,Hiro Shimono,Aleks Le,Bryce Papenbrook,Gui Niang,Lin Hu,You-Wu-Yue-Shan,Shinya Takahashi,Ray Chase,Katsuyuki Konishi,Doug Erholtz,Toshiyuki Morikawa,Kengo Kawanishi,Erica Lindbeck","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",24,"Animation,Action,Adventure",Japanese,Japan,TV-MA,8.6,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,2019
"Sunita Mani,Wunmi Mosaku,Bob Stephenson,Alia Shawkat,Pollyanna McIntosh,Ted Travelstead,Dash Williams,Sepideh Moafi,Freddy Rodríguez,Masha King,James Kyson,Skyler Gisondo,Chris Diamantopoulos,Okieriete Onaodowan",The crew of a damaged deep space freighter strands on a beautiful but dangerous planet.,24,"Animation,Adventure,Drama",English,United States,TV-MA,8.7,Scavengers Reign,Scavengers Reign,2023
"H. Jon Benjamin,Judy Greer,Amber Nash,Chris Parnell,Aisha Tyler,Lucky Yates,Jessica Walter,Adam Reed,Dave Willis,George Coe,Tom Kane,Z. Gillispie,Kayvan Novak,Christian Slater,Maggie Wheeler,Stephen Tobolowsky,Jeffrey Tambor,Peter Newman",Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,22,"Animation,Action,Comedy",English,United States,TV-MA,8.6,Archer,Archer,2009
