acteurs,description,duree,genre,langue_origine,pays,public,score,titre,titre_original,year
"Alfred Hitchcock,Harry Tyler,John Williams,Patricia Hitchcock,Arthur Gould-Porter,Raymond Bailey,Lillian O'Malley,Russell Collins,Robert Carson,Barry Harvey,Robert H. Harris,Ray Teal,Bartlett Robinson,David Fresco,Robert Horton,Percy Helton,Ralph Clanton,Charles Davis","Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.",25,"Drama,Mystery",English,United States,TV-14,8.5,Alfred Hitchcock Presents,Alfred Hitchcock Presents,1955
"Michael Kitchen,Honeysuckle Weeks,Anthony Howell,Ellie Haddington,Julian Ovenden,Jay Simpson,Tim McMullan,Daniel Weyman,Jeremy Swift,Rupert Vansittart,Geoffrey Freshwater,Mali Harries,Michael Simkins,Hermione Gulliford,Max Brown,Alex Clatworthy,Jay Benedict,Jonah Lotan","As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.",90,"Crime,Drama,Mystery",English,United Kingdom,TV-14,8.6,Foyle's War,Foyle's War,2002
"Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Bob Hastings,Robert Costanzo,Mari Devon,Mark Hamill,Richard Moll,Lloyd Bochner,Arleen Sorkin,John Vernon,Adrienne Barbeau,Brock Peters,Diane Pershing,Ingrid Oliu,Paul Williams,Neil Ross,Aron Kincaid",The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,23,"Animation,Action,Adventure",English,United States,TV-PG,9.0,Batman: The Animated Series,Batman: The Animated Series,1992
"Regina King,John Witherspoon,Gary Anthony Williams,Cedric Yarbrough,Jill Talley,Gabby Soleil,Jim Meskimen,Carl Jones,Kevin Michael Richardson,Corey Burton,Charlie Murphy,DeRay Davis,Kym Whitley,Sam McMurray,Affion Crockett,Rob Paulsen,Edward Asner,Melique Berger",Brothers Huey and Riley Freeman experience a culture clash when they leave Chicago to move in with their grandfather in the suburbs.,22,"Animation,Action,Comedy",English,United States,TV-MA,8.5,The Boondocks,The Boondocks,2005
"Natsuki Hanae,Risa Taneda,Ayane Sakura,Ryôta Ôsaka,Erika Harlacher,Amanda Céline Miller,Erik Scott Kimerer,Julie Ann Taylor,Adin Rudd,Abelina Sabrina Rios,Jennifer Alyx,Megan Crockett,Ryan Raydarke,Christina McBride,Erica Lindbeck,Max Mittelman,Erica Mendez,Kyle McCarley",A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,23,"Animation,Comedy,Drama",Japanese,Japan,TV-PG,8.5,Your Lie in April,Your Lie in April,2014
"Jessie James Grelle,Bryce Papenbrook,Trina Nishimura,Yûki Kaji,Yui Ishikawa,Marina Inoue,Kishô Taniyama,Hiro Shimono,Clifford Chapin,Mike McFarland,Romi Park,Matthew Mercer,Jessica Calvello,Hiroshi Kamiya,Yoshimasa Hosoya,Yû Kobayashi,Robert McCollum,Ashly Burch","After his hometown is destroyed and is traumatized, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",24,"Animation,Action,Adventure",Japanese,Japan,TV-MA,9.1,Attack on Titan,Attack on Titan,2013
"Tomokazu Sugita,Daisuke Sakaguchi,Rie Kugimiya,Kazuya Nakai,Susumu Chiba,Ken'ichi Suzumura,Satsuki Yukino,Akira Ishida,Tetsuharu Ôta,Fumihiko Tachiki,Kujira,Yû Kobayashi,Mikako Takahashi,Fumiko Orikasa,Kôichi Sakaguchi,Yû Sugimoto,Michael Daingerfield,Janyse Jaud","In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.",25,"Animation,Action,Comedy",English,Japan,TV-14,8.7,Gintama,Gintama,2005
"Lee Jae-wook,Hwang Min-hyun,Yoo Joon-sang,Oh Na-ra,Yoo In-soo,Jo Jae-yoon,Lee Do-kyung,Victoria Grace,Hao Feng,Alexandra Bokyun Chun,Eugene Ko,Arin,Lee Bong-joon,Shin Seung-ho,Lee Ha-yul,Park Eun-hye,Im Chul-soo,Hong Seo-hui","Set in a fictional country called Daeho, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies.",80,"Action,Drama,Fantasy",Korean,South Korea,TV-14,8.8,Alchemy of Souls,Alchemy of Souls,2022
"Zerocalcare,Valerio Mastandrea,Wayne Forester,Adam Rhys Dee,Ambrogio Colombo,Chiara Gioncardi,Michele Foschini,Paolo Vivio,Veronica Puccio,Alessandra Sani,Ezio Conenna",A cartoonist in Rome with his armadillo-for-a-conscience reflects on his path in life and a would-be love as he and his friends travel outside the city.,20,"Animation,Comedy,Drama",Italian,Italy,TV-14,8.6,Tear Along the Dotted Line,Tear Along the Dotted Line,2021
"Joel McHale,Danny Pudi,Donald Glover,Chevy Chase,Gillian Jacobs,Alison Brie,Ken Jeong,Yvette Nicole Brown,Jim Rash,Richard Erdman,Erik Charles Nielsen,Dino Stamatopoulos,Danielle Kaplowitz,John Oliver,Charley Koontz,Luke Youngblood,Paget Brewster,Keith David",A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,22,Comedy,English,United States,TV-14,8.5,Community,Community,2009
